200.0000000000	0.0514618108
201.0006253909	0.0477317441
202.0012507817	0.0454864321
203.0018761726	0.0464112715
204.0025015635	0.0435321994
205.0031269543	0.0363562597
206.0037523452	0.0313349441
207.0043777361	0.0303347747
208.0050031270	0.0269184683
209.0056285178	0.0314984365
210.0062539087	0.0336110199
211.0068792996	0.0412303473
212.0075046904	0.0423701121
213.0081300813	0.0358445844
214.0087554722	0.0310853083
215.0093808630	0.0324539857
216.0100062539	0.0299191916
217.0106316448	0.0280188158
218.0112570356	0.0299323651
219.0118824265	0.0320337418
220.0125078174	0.0306925794
221.0131332083	0.0326335714
222.0137585991	0.0358550689
223.0143839900	0.0311850752
224.0150093809	0.0305135258
225.0156347717	0.0317309369
226.0162601626	0.0311475692
227.0168855535	0.0370263578
228.0175109443	0.0469046026
229.0181363352	0.0491924064
230.0187617261	0.0422395080
231.0193871169	0.0335631878
232.0200125078	0.0284710791
233.0206378987	0.0461511339
234.0212632896	0.0497905503
235.0218886804	0.0483357241
236.0225140713	0.0465282199
237.0231394622	0.0472179409
238.0237648530	0.0500197632
239.0243902439	0.0508358365
240.0250156348	0.0467377104
241.0256410256	0.0482909364
242.0262664165	0.0536063287
243.0268918074	0.0618629835
244.0275171982	0.0533767307
245.0281425891	0.0532372336
246.0287679800	0.0537311789
247.0293933709	0.0474576381
248.0300187617	0.0456120567
249.0306441526	0.0429620109
250.0312695435	0.0297873449
251.0318949343	0.0313520138
252.0325203252	0.0442182560
253.0331457161	0.0400742414
254.0337711069	0.0357693512
255.0343964978	0.0415831628
256.0350218887	0.0485388578
257.0356472795	0.0533817119
258.0362726704	0.0489449131
259.0368980613	0.0486027285
260.0375234522	0.0459082170
261.0381488430	0.0440017952
262.0387742339	0.0448083511
263.0393996248	0.0399714899
264.0400250156	0.0270293102
265.0406504065	0.0211734511
266.0412757974	0.0328409405
267.0419011882	0.0348850024
268.0425265791	0.0398235257
269.0431519700	0.0374127661
270.0437773609	0.0383065067
271.0444027517	0.0389836011
272.0450281426	0.0354954889
273.0456535335	0.0336901121
274.0462789243	0.0364877093
275.0469043152	0.0326445552
276.0475297061	0.0258371424
277.0481550969	0.0247895096
278.0487804878	0.0350456753
279.0494058787	0.0322123522
280.0500312695	0.0230298551
281.0506566604	0.0294016607
282.0512820513	0.0325088461
283.0519074422	0.0359684267
284.0525328330	0.0350675918
285.0531582239	0.0364240375
286.0537836148	0.0422649514
287.0544090056	0.0462626913
288.0550343965	0.0438726945
289.0556597874	0.0392522148
290.0562851782	0.0413425582
291.0569105691	0.0453113165
292.0575359600	0.0497682232
293.0581613508	0.0362776331
294.0587867417	0.0348835061
295.0594121326	0.0364201702
296.0600375235	0.0354787208
297.0606629143	0.0350244097
298.0612883052	0.0370403803
299.0619136961	0.0342376032
300.0625390869	0.0277683774
301.0631644778	0.0406685545
302.0637898687	0.0401670684
303.0644152595	0.0310708067
304.0650406504	0.0234386807
305.0656660413	0.0274620803
306.0662914321	0.0386980659
307.0669168230	0.0321531737
308.0675422139	0.0227440901
309.0681676048	0.0254919075
310.0687929956	0.0267590716
311.0694183865	0.0222456431
312.0700437774	0.0177407053
313.0706691682	0.0171086022
314.0712945591	0.0171556925
315.0719199500	0.0129574219
316.0725453408	0.0131465371
317.0731707317	0.0014080504
318.0737961226	0.0098865212
319.0744215134	0.0061333610
320.0750469043	-0.0007015855
321.0756722952	0.0006127877
322.0762976861	0.0056293781
323.0769230769	0.0007410332
324.0775484678	-0.0118069626
325.0781738587	-0.0115887483
326.0787992495	-0.0008472446
327.0794246404	-0.0008105331
328.0800500313	-0.0042730229
329.0806754221	-0.0127464888
330.0813008130	-0.0165846716
331.0819262039	-0.0105128250
332.0825515947	-0.0177241531
333.0831769856	-0.0143008125
334.0838023765	-0.0126438537
335.0844277674	-0.0136270141
336.0850531582	-0.0060061869
337.0856785491	0.0020638709
338.0863039400	0.0021755675
339.0869293308	-0.0010625471
340.0875547217	0.0053446446
341.0881801126	0.0148166670
342.0888055034	0.0314159991
343.0894308943	0.0379878999
344.0900562852	0.0442101466
345.0906816760	0.0478846336
346.0913070669	0.0575816469
347.0919324578	0.0706206687
348.0925578487	0.0730515804
349.0931832395	0.0769049930
350.0938086304	0.0902822388
351.0944340213	0.1007788636
352.0950594121	0.1050705090
353.0956848030	0.1143542275
354.0963101939	0.1328059237
355.0969355847	0.1441980860
356.0975609756	0.1441280709
357.0981863665	0.1668296804
358.0988117573	0.1576481719
359.0994371482	0.1844234055
360.1000625391	0.1937464969
361.1006879300	0.2066643523
362.1013133208	0.2221395367
363.1019387117	0.2307498693
364.1025641026	0.2304256322
365.1031894934	0.2300525298
366.1038148843	0.2330866172
367.1044402752	0.2320843551
368.1050656660	0.2325433458
369.1056910569	0.2274184795
370.1063164478	0.2326225593
371.1069418386	0.2340382090
372.1075672295	0.2279968222
373.1081926204	0.2275348592
374.1088180113	0.2046117018
375.1094434021	0.1958341993
376.1100687930	0.1861672441
377.1106941839	0.1877420360
378.1113195747	0.1903657247
379.1119449656	0.1878265796
380.1125703565	0.1821337620
381.1131957473	0.1768667839
382.1138211382	0.1697130135
383.1144465291	0.1653503587
384.1150719199	0.1532036898
385.1156973108	0.1663581099
386.1163227017	0.1662659504
387.1169480926	0.1622800937
388.1175734834	0.1627707247
389.1181988743	0.1648594859
390.1188242652	0.1667152721
391.1194496560	0.1699114365
392.1200750469	0.1758780834
393.1207004378	0.1784155373
394.1213258286	0.1718957412
395.1219512195	0.1666168207
396.1225766104	0.1743195371
397.1232020013	0.1858156281
